Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,7.850000,8.250000,7.590000,8.000000,8.000000,39094893
2018-07-19,8.420000,8.550000,7.710000,7.850000,7.850000,97634360
2018-07-18,8.600000,8.750000,8.150000,8.420000,8.420000,71205514
2018-07-17,8.780000,9.350000,8.450000,8.600000,8.600000,98469960
2018-07-16,8.100000,8.980000,7.840000,8.780000,8.780000,95076480
2018-07-15,7.400000,8.180000,7.240000,8.100000,8.100000,76490740
2018-07-14,6.940000,7.520000,6.880000,7.400000,7.400000,42787961
2018-07-13,6.900000,7.100000,6.790000,6.940000,6.940000,27473391
2018-07-12,6.920000,7.240000,6.690000,6.900000,6.900000,51379058
2018-07-11,7.160000,7.170000,6.560000,6.920000,6.920000,64342083
2018-07-10,7.140000,7.410000,6.760000,7.160000,7.160000,66979170
2018-07-09,7.690000,7.790000,7.060000,7.140000,7.140000,91033193
2018-07-08,8.710000,8.740000,7.430000,7.690000,7.690000,68205938
2018-07-07,8.860000,9.010000,8.690000,8.710000,8.710000,30583818
2018-07-06,8.630000,8.930000,8.380000,8.860000,8.860000,31370501
2018-07-05,8.850000,8.880000,8.320000,8.630000,8.630000,52986545
2018-07-04,8.910000,9.200000,8.670000,8.850000,8.850000,60729345
2018-07-03,8.810000,9.430000,8.520000,8.910000,8.910000,65182768
2018-07-02,8.980000,9.440000,8.720000,8.810000,8.810000,93408111
2018-07-01,8.130000,9.190000,7.910000,8.980000,8.980000,94478199
2018-06-30,8.120000,8.250000,7.770000,8.130000,8.130000,35793533
2018-06-29,7.750000,8.320000,7.750000,8.120000,8.120000,64315477
2018-06-28,7.380000,7.960000,7.040000,7.750000,7.750000,74229595
2018-06-27,7.990000,8.070000,7.300000,7.380000,7.380000,61912498
2018-06-26,7.360000,8.260000,7.260000,7.990000,7.990000,78775579
2018-06-25,8.180000,8.250000,7.340000,7.360000,7.360000,73956325
2018-06-24,8.050000,8.490000,7.710000,8.180000,8.180000,86951796
2018-06-23,8.370000,8.440000,6.900000,8.050000,8.050000,185123451
2018-06-22,8.520000,8.780000,8.020000,8.370000,8.370000,62386555
2018-06-21,10.410000,10.450000,8.240000,8.530000,8.530000,167733079
2018-06-20,10.430000,10.880000,10.180000,10.410000,10.410000,47935977
2018-06-19,10.700000,10.840000,10.200000,10.430000,10.430000,62478883
2018-06-18,10.730000,10.910000,10.450000,10.700000,10.700000,45322164
2018-06-17,10.340000,10.910000,10.130000,10.730000,10.730000,56960426
2018-06-16,10.540000,10.750000,10.270000,10.340000,10.340000,35757903
2018-06-15,10.540000,10.810000,10.120000,10.540000,10.540000,69258904
2018-06-14,11.250000,11.250000,10.360000,10.540000,10.540000,101312867
2018-06-13,10.000000,11.650000,9.440000,11.250000,11.250000,167905845
2018-06-12,9.980000,10.310000,9.100000,10.000000,10.000000,136455160
2018-06-11,11.300000,11.320000,9.590000,9.980000,9.980000,104367792
2018-06-10,11.010000,11.440000,10.410000,11.300000,11.300000,138303311
2018-06-09,14.110000,14.110000,10.050000,11.010000,11.010000,360036842
2018-06-08,14.010000,14.970000,13.960000,14.110000,14.110000,122397842
2018-06-07,14.600000,14.790000,13.560000,14.010000,14.010000,144020309
2018-06-06,13.910000,14.620000,13.670000,14.600000,14.600000,108074992
2018-06-05,14.150000,14.270000,13.340000,13.910000,13.910000,102696368
